campaign_id,campaign_name,campaign_type,start_date,end_date,budget,target_segment
1,Flash Future-proofed modular conglomeration,Email,2024-05-15,2024-07-04,41485.88,Inactive Users
2,Holiday Digitized tertiary monitoring,Push Notification,2023-06-21,2023-08-10,11119.84,High Value
3,Weekend Multi-layered foreground interface,Email,2024-04-03,2024-05-31,39938.73,Low Value
4,Holiday Secured global framework,Push Notification,2024-09-01,2024-10-13,44598.25,High Value
5,Holiday Right-sized maximized groupware,SMS,2023-03-27,2023-05-08,23034.76,Inactive Users
6,Weekend Multi-tiered encompassing customer loyalty,SMS,2023-04-22,2023-06-08,19482.16,Medium Value
7,Member Virtual 5thgeneration array,Push Notification,2023-01-11,2023-03-06,40745.45,High Value
8,Flash Visionary homogeneous core,Social Media,2024-06-03,2024-07-08,44232.9,All Customers
9,New Year Open-architected discrete Internet solution,Push Notification,2023-01-13,2023-03-05,24613.69,Medium Value
10,Holiday Automated human-resource hierarchy,Email,2023-12-27,2024-01-05,14730.26,Medium Value
11,New Year Organized discrete standardization,Social Media,2023-10-28,2023-12-05,4995.55,All Customers
12,Flash Fundamental composite moderator,Social Media,2023-06-20,2023-07-28,10702.22,Medium Value
13,Member Polarized real-time firmware,Email,2023-05-11,2023-05-19,15140.11,All Customers
14,Weekend User-centric object-oriented artificial intelligence,Push Notification,2024-10-20,2024-11-05,5992.24,Low Value
15,Weekend Progressive methodical workforce,SMS,2024-02-07,2024-02-17,17205.15,Medium Value
